strengths,weaknesses,review_id,submission_id,type,review_text
"['Clarity', 'Practical Application', 'Innovation']","['Comparative Analysis', 'Novelty', 'Reproducibility']",oxEPinZ4F8,3DSlLEVkGg,human,"This paper proposes a dataset and a model for replacing the face in the source image with that in the target image. The key is using a driving image capturing just the desired face with everything else blacked out so that the model can be trained without just providing the target image (which usually leads to trivial solutions). The target image can be of a different background or lighting condition, and only the face part should swapping.

The model called PiQPerfect segments out the face from the target image, data augments it, encodes the source, target, driving images, concats them with noise added to the target image (so that the model can’t cheat), and finally diffuses the stack into the target image.

The said dataset contains 500K images of almost 7K identities. Data come in (source, driving, target) tuples. The secret to this big size is that the authors started with 25K neutral faces and then autolabeled many new expressions using LivePortrait.
This is indeed a common use case, and I’m also surprised there was no prior work directly tackling this.

Good presentation, esp Figure 2, helped demonstrate the ideas clearly.

I like the autolabeling pipeline that enlarges the dataset by a lot. Also, the paper showed it’s not enough to just use LivePortrait since the background may change.
The method looks quite similar to many prior face works, one of which is DiffusionRig. DiffusionRig also targets identity preserving editing, but I am not seeing comparisons against DiffusionRig.

The wording on the dataset release sounds vague, so I’m not sure if the authors will eventually release the dataset or not. If the dataset is not released, the only useful part would be the method, but like I said above, it’s not much different than prior works. I’d say the whole package – the model, dataset, and the autolabeling pipeline – is much more valuable than just the model.
Have you tried this on video? Can be per-frame. How will the temporal consistency look if we make a video of the same person with the face swapped?

Will the dataset be released if this paper gets accepted?

What was done to pseudo GT with artifacts from LivePortrait? Do you have filtering in the data pipeline?"
"['Innovation', 'Resource Efficiency', 'Experimental Validation']","['Theoretical Justification', 'Generalizability', 'Comparative Analysis']",6mwtHQXdTT,r0SGIe2O1d,human,"Previous diffusion-based image SR models perform noise sampling from a single distribution, which limits their ability to handle real-world scenes and complex textures across semantic regions. To address this challenge, the authors propose Diff-SSR, which introduces SAM-based structural positional information into the diffusion process to enhance structure-level detail restoration in SR process. The proposed model leverages fine-grained structural information from SAM during the noise sampling process to improve image quality, without incurring additional computational cost during inference. In addition, the authors evaluate and analyze the effectiveness of the proposed method across multiple datasets.
1. The authors ingeniously introduce SAM into the diffusion process to explore the influence of structural information on SR quality, which has been rarely considered in previous works.
2. The proposed method introduces no additional computational cost during inference and can restore super-resolved images without accessing SAM.
3. The proposed method achieves competitive results in the provided experimental results.
1. How is the coefficient $\varphi_t$ of $E_{\text{SAM}}$ in Equation (2) determined, why does its value decrease as t becomes smaller? The authors should provide the theoretical explanation of this design and provide a reasonable analysis of how varying the value of this coefficient affects the super-resolution performance. In addition, the are encouraged to provide experimental results with this coefficient set to zero to verify the performance gain of the introduction of SAM information on the reconstruction results. 
2. Is the proposed algorithm trained from scratch, or does it start from pretrained weights? The authors should clearly emphasize this point in the paper. 
3. Since all datasets used in the experimental evaluation are synthetic, the authors should provide comparative analyses on real-world SR datasets to better demonstrate the robustness and generalization capability of the proposed method.
4. Can the proposed strategy be easily transferred to other SR models to improve their performance? Will it introduce significant additional training costs?
5. Minor correction:  In Table 2, for the General100 dataset, the best FID result should be 23.56 (PiSA-SR).
See weaknesses."
"['Relevance', 'Practical Application', 'Comprehensive Evaluation']","['Novelty', 'Theoretical Justification', 'Comparative Analysis']",qjX8hY1X57,96g2BRsYZX,human,"The paper introduces the idea of using diffusion models to infer full state observations from local (single agent) observations in general partially observable multi-agent reinforcement learning problems. They provide some analysis of how to cast the learning problem in terms of the generative models, they derive theoretically some error bounds in the expected prediction errors between the generative model and the true fully observable state, and include a wide range of empirical results demonstrating how incorporating a diffusion model into a baseline MARL algorithm helps improve significantly the average returns obtained by the agents.
- The problem is highly relevant. Partial observability in dec-POMDPs is a prevalent bottleneck in terms of general MARL algorithms succeeding at producing optimal distributed policies in complex MARL environments.
- The solution the authors propose is reasonable and very straightforward: use powerful generative models to aid agents form posterior densities over true fully observable states based on local observations.
- The empirical results seem thorough, and the authors compare against a reasonable amount of baselines.
- Using diffusion models to approximate posterior distributions of fully observable states in Dec-POMDPs is not really a novel idea. See [1]; authors even test MAPPO implementations with diffusion generative models in the SMAC benchmarks.
- Theorem 1 does not really add any insight or seems to be particularly useful; it states that the expected approximation error between true samples and generated ones is bounded by a linear combination of some distance between distributions and the variance of the generative model (this is not a very insightful result). The proof also follows almost immediately from the triangle inequality.
- I am slightly concerned of the validity of the baseline comparisons. I am not convinced it is fair to compare GlobeDiff+MAPPO against a vanilla MAPPO with the same number of trainable parameters. See below for a question on this.
- Some sentences in the introduction are not very clear. First, I would appreciate some nuance in the assumption that a MARL problem is necessarily partially observable (this is not the case in general, there are game theoretic problems that are fully observable like eg bimatrix games...). Also, the following sentence (lines 49-51) is not clear: ""Unfortunately, the focus on interpreting past experiences without significantly enhancing the agent's ability to leverage global information"". Isn't interpreting past experiences a way of inferring global information?
- (*Minor but I had to raise it*) In the paper title, as well as in the first line of the introduction, 'multi-agent system' should be plural, 'multi-agent systems', and the first line should be 'Multi-agent systems have...'.
 

[1] Wang, Tonghan, et al. ""On Diffusion Models for Multi-Agent Partial Observability: Shared Attractors, Error Bounds, and Composite Flow."" Proceedings of the 24th International Conference on Autonomous Agents and Multiagent Systems. 2025.
1. Can the authors reference [1] above and frame their work in this context? I believe the author's experimental results are more thorough than [1], but I believe it affects the claims that diffusion models have not been used in Dec-POMDPs.
2. Is theorem 1 a contribution of equal weight as Theorem 2? I am not sure it's a relevant result, I believe more space dedicated to Theorem 2 would probably benefit the paper.
3. In eq (4) authors derive the ELBO of a generative model, which is a well known expression and a common approach to training variational approximations to posterior densities in general Bayesian generative problems. A reference to this and some nuance would make the paper clearer.
4. I have a fundamental question about the baselines used to compare. In my view, GlobeDiff+MAPPO is in some way adding a large amount of model complexity to vanilla MAPPO. While there is no good way of measuring this and ensuring it's constant among all baselines, I don't believe it is fair to compare baselines against each-other without making any reference to the size of the policy/value networks. Were the architectures of the policies kept constant across all baselines? I would then argue that it is trivial that GlobeDiff+MAPPO provides a performance increase, since at the very least this is adding model complexity to the representation the agents learn. What I would be interested in knowing is, if for example, one can train GlobeDiff+MAPPO where the number of parameters in the networks (of the diffusion model + the RL policy) is **the same** as the number of parameters in a vanilla MAPPO policy. If even under comparable model complexity the authors observe such improvements, I will be more convinced that the approach adds any value to the MARL field. If under a similar (total) number of parameters the performance is similar, I would argue perhaps deep RL recurrent policies with enough complexity generate some form of internal representation of the global state reconstruction based on agent observations (which is, in fact, the implicit argument behind using recurrent policies in Dec-POMDPs)."
"['Practical Application', 'Modularity and Flexibility', 'Clarity']","['Comparative Analysis', 'Experimental Rigor', 'Methodological Soundness']",a7plR144JS,oyDe8cNXt6,human,"While diffusion models have been showing really good results in image generation, there might still be cases where they are unable to follow instructions for adjusting visual inputs. This issue arises because text encoders handle words, not continuous values, and current aesthetic alignment methods only capture broad preferences. The proposed framework, AttriCtrl, enables fine-grained, continuous control of aesthetic features by mapping both concrete and abstract traits onto a [0, 1] scale. It uses a plug-and-play value encoder to translate user inputs into interpretable embeddings, allowing smooth and accurate adjustments. AttriCtrl integrates with existing systems like ControlNet while keeping the base model unchanged and computationally efficient.
I think the paper has the following strengths:

1) Most of the results seem to be visually nice, which shows that the method can have some good usability.

2) It is very nice that the method can be combined with the likes of ControlNet and Eligen.

3) The paper is quite readable, and a motivated user should be able to understand it.
I think the paper can be further improved in these aspects.

1) By far my main issue with the paper is the lack of extensive comparisons with the other methods. I understand that for some tasks, this is very hard to do, considering that there aren't clear comparisons. However, for this reason, the authors should have done more evaluations in the task of nudity erasure where there are many other methods and benchmarks. In particular, the authors could have compared with:

[A] Gong et al., Reliable and efficient concept erasure of textto-image diffusion models, 2024

[B] Schramowski et al.,  Safe latent diffusion: Mitigating inappropriate degeneration in diffusion models, 2023

[C] Yoon et al., SAFREE: training-free and adaptive guard for safe text-to-image and video generation, 2024

[D] Lyu et al., One-dimensional adapter to rule them all: Concepts, diffusion models and erasing applications, 2024

[E] Gaintseva et al., CASteer: Steering Diffusion Models for Controllable Generation, 2025

I understand that erasure is not the main focus of the paper, but considering how well-established (and important) it is, it can serve as a proxy on quantitative evaluation of the method.

2) Similarly, for erasure, the authors could have done a user study.

3) Some parts of the paper feel like padding. In particular, almost all equations seem trivial such as doing a normalization, or computing entropy. This does not make the paper be more sophisticated, in fact, it almost have the opposite effect.

4) The authors should have tested their method with more diffusion backbones, currently it is only in Flux. In particular, I would have been very interested to see how it works in SDXL, SD-3/3.5 and SANA.
I do not have particular questions for the authors, but I would be very interested to see if they can properly address the mentioned weaknesses. If so, I might be willing to increase my score."
"['Innovation', 'Experimental Validation', 'Modularity and Flexibility']","['Theoretical Justification', 'Technical Accuracy', 'Clarity']",USszk8v8lk,azJnEkfqzp,human,"The paper under consideration studies a class of generative model to sample from a discrete data distribution $p_0$, called Discrete Markov Bridge (DMB). In contrast with most concurring models DMB also optimizes over the choice of prior. This phase, called *Matrix Learning* complements the more classical *score learning* phase, in which score approximation is performed by minimizing the expected KL divergence between the distribution at time $T$ for a given choice of prior (noising process) and conditional distribution at time $T$ for the same choice of prior given the initial state.
The main strength of the paper is to propose a generative framework that allows for flexible prior distributions that can in principle adapt to the underlying data distribution and evolve along iterations. The effectiveness of this idea is corroborated by numerical experiments on CIFAR-10 and Text 8. I like this idea and I believe it deserves to be further explored. The numerical experiments are promising.
- The main problem is that theoretical guarantees are too weak and the numerical experiments alone, though promising, are not in my opinion strong enough to compensate for the lack of theoretical results. To be more precise

    - Proposition 4.1 appears to me as a generic statement about Markov chains that use nothing of the specifics of DMB
    - Proposition 4.2 is again a very general results saying that in principle the method can be used to sample from a given data    distribution $\mu$. Moreover, its statement is also incomplete as the most interesting part is the upper-triangular shape of the transition matrix Q, which is not mentioned.
   - Theorem 4.7 states under vague and imprecise assumptions that $D_{KL}(\mu|p_0^{(k)})$ is converging.  But this is not a guarantee of convergence. I would rather expect a statement like $\lim_kD_{KL}(\mu|p_0^{(k)})=0$, but I could not find this result in the paper, and after reading the proof of Theorem 4.7, I could only infer that the $D_{KL}(\mu|p_0^{(k)})$ is decreasing along iterations. 

In conclusion, the theoretical results do not provide with any convergence rates, do not take into account the various sources of error (time-discretization, score approximation…) and even under idealized assumptions do not seem to guarantee the convergence of the algorithm to the target distribution. I may have misunderstood something, in which case I am happy to review my assessment.

- Most of the key statements lack rigor or precision, there are many typos and missing details. To give an example, in the pseudo-code for Algorithm 2 on top of page 5, which basically summarizes the contribution of this work I encountered the following issues

   - The authors propose to update the prior transition matrix $Q_\alpha$ according to (5) and predict $p_T$ according to (4). But (5) is just a loss function. So how how is the update actually done? I don’t feel like equation (14) clarifies this well enough. 
    - In the same spirit, how is the update of the score estimator $s_{\theta}$ performed according to equation (8)? At first glance, it seems quite costly as for each iteration, the prior evolves. Therefore, one needs to approximate all transition rates $p_{t|0}$ at each iteration and generate forward many trajectories at each iteration. How is this actually done? 
    - The sampling algorithm used is described quite vaguely as some form of Euler scheme for ODEs. It needs more explanations and detail. Also, I expect probability ratios like $ p_t(y)/p_t(x) $ to take both very large and very small values. How are these problems handled?
    -  $ \mathcal{J}_{Q} $ is not defined before. I guess it should be $ J_Q $. The quantity \mathcal{L}_Q does not seem to be defined before, though it probably is again  J_Q  . Similarly,  \mathcal{J}_{score} is not defined before: I assume it coincides with J_score
- Has the idea of using a flexible prior been exploited before in the context of continuous diffusion models based on the Ornstein Uhlenbeck process? If so, with what results and outcomes?

- I understand that the definition of J_score is taken from previous works. What is its interpretation? Does it carry a probabilistic meaning as some averaged relative entropy?"
"['Innovation', 'Comprehensive Evaluation', 'Generalization and Adaptability']","['Computational Efficiency', 'Reliance on Assumptions', 'Methodological Soundness']",gZnK1Ufiqg,qmCpJtFZra,human,"This paper introduces Complexa, a novel framework for fully atomistic protein binder design that aims to unify two dominant but previously separate paradigms: generative modeling (like RFDiffusion) and sequence ""hallucination"" (like BindCraft). The authors argue that this dichotomy is false and that performance can be maximized by combining a strong generative prior with scalable inference-time optimization.

To train a strong base model, the paper makes two key contributions. First, it introduces Teddymer, a new, large-scale dataset of synthetic binder-target pairs, cleverly constructed by splitting predicted multi-domain monomer structures from the AlphaFold Database into interacting domain pairs. Second, it extends a state-of-the-art flow-matching generative model (La-Proteína) to be conditional on a target's structure, pretraining it on monomers and the new Teddymer dataset.

The framework's main novelty is in its use of this trained generative model as a prior for inference-time optimization. The authors adapt multiple test-time search algorithms (e.g., Best-of-N, Beam Search, MCTS) to steer the generative process toward high-quality binders, using scores from external structure predictors (like AlphaFold2) as rewards.

Complexa achieves new state-of-the-art results on computational binder design benchmarks. Its base model outperforms prior generative methods, and its inference-time optimization significantly outperforms prior hallucination methods under normalized compute budgets. The authors also demonstrate the framework's flexibility by extending it to small molecule targets, optimizing for interface hydrogen bonds, and guiding generation by protein fold class.
1. Solves a Key Data Bottleneck: The Teddymer dataset is a very clever and practical solution to the lack of large-scale binder-target complex data. The ablation study proves it is essential to the model's success.

2. Extremely Strong Empirical Results: The paper demonstrates clear and significant superiority over existing SOTA methods (RFDiffusion, BindCraft, BoltzDesign) in fair, compute-matched comparisons.

3. Thoroughness and Versatility: The authors are not satisfied with just one result. They show the method works for both protein and small-molecule targets, can optimize for physics-based properties (H-bonds), and can be controlled (fold-class conditioning). This demonstrates the framework's power and flexibility.
1. System Complexity: This is an ""everything but the kitchen sink"" model. It involves a VAE, a flow-matching model, and complex test-time search algorithms that in turn rely on other large models (AF2, RF3) as reward oracles. This makes the system as a whole extraordinarily complex and computationally expensive to train and run, even if it is more efficient than baselines.

2. Reliance on External Oracles: The performance of the test-time optimization is fundamentally coupled to the quality of the external structure predictors (AF2/RF3) used as reward functions. If the oracle is wrong or has blind spots, the search will be steered to exploit those flaws, not necessarily to find biologically viable binders.

3. Teddymer Interface Quality: The central assumption is that the interfaces in Teddymer (from predicted monomer domains) are good proxies for real binder-target interfaces. While Fig. 3 is a nice qualitative example, the paper would be stronger with a quantitative analysis comparing the geometric and biophysical properties of Teddymer interfaces versus a ground-truth set from the PDB.
1. The ablation study for ""Generate & Hallucinate"" (G&H) in Fig. 12 shows that this simpler approach is less effective than the fully integrated search methods (like Beam Search). Why do the authors think this is? Is it because the search methods can correct the generative trajectory early and often, whereas G&H can only fix a single complete, and potentially flawed, sample at the end?

2. The ""translation noise"" ablation (Table 7) shows it is critical for performance. The hypothesis is that this forces the model to learn global positioning. Is it also possible that without this noise, the model simply overfits to the ""centered target"" convention used in training, and the noise acts as a data augmentation/regularization? Could the authors comment on this alternative interpretation?

3. For the ""Generate & Hallucinate"" (G&H) experiments (Sec I.3), the paper ablates using BindCraft stages 2+3+4 vs. stage 4 only. Why does the simpler ""stage 4 only"" (discrete optimization) perform better on easy targets? One might expect the gradient-based logit optimization (stages 2+3) to be more powerful."
"['Efficiency', 'Innovation', 'Experimental Validation']","['Computational Efficiency', 'Methodological Soundness', 'Theoretical Justification']",0YFd5HRhsZ,o1aGo0GzBo,human,"This paper introduces Dynamic-TreeRPO, a reinforcement learning (RL) framework designed for flow-matching text-to-image models. The method utilizes a sliding-window tree-structured SDE process with dynamic noise intensities, thereby reducing the computational overhead. Furthermore, the authors present a novel training paradigm named LayerTuning-RL, which unifies supervised fine-tuning (SFT) and reinforcement learning into a single optimization objective. Experiments demonstrate that the proposed method improves training efficiency and achieves superior performance compared to previous methods (DanceGRPO and MixGRPO).
1. Improving the efficiency of GRPO-based RL framework in flow matching text-to-image models is an important research topic. The proposed tree-structured search method provides a reasonable and well-motivated solution.
2. The idea of LayerTuning-RL, i.e., using the trajectory that obtains the highest reward within each group as the supervising target, is conceptually appealing and offers an interesting perspective on integrating SFT and RL.
The proposed method introduces a number of hyperparameters, such as the depth of trajectory trees $d$, noise growth magnitude $\beta$ in Equation (6), reward sensitivity factor $\eta$ in Equation (11), clipping threshoulds $\varepsilon_\text{low}$ and $\varepsilon_\text{high}$ in Equation (11), and loss coefficient $\lambda$ in Equation (13). These hyperparameters may require careful tuning, imposing additional burdens in practice.
1. How sensitive is the proposed method to the hyperparameters mentioned in the “Weaknesses” section?
2. How is the tree depth $d$ determined? Is it feasible to use a wider tree structure instead of a binary tree?
3. What motivates the design of the function $g_t(k)$ in Equation (6)? More specifically, why is it designed to linearly increase with the normalized depth? Have you tried other formulations such as those decrease with depth?
4. Can the technique of using different noise intensities be applied to MixGRPO and DanceGRPO, to enhance their diversity and performance?"
"['Simplicity and Accessibility', 'Practical Application', 'Innovation']","['Comparative Analysis', 'Experimental Rigor', 'Evaluation Metrics']",XGdaV55T0N,HnDBPRWUD6,human,"This paper transfers light effects from a reference to a target via “generative decoupling” with two diffusion models: a light-removal model producing content-only and a light-extraction model producing an effects-only map. They mine images with a VLM to form image/content/effects triplets and filter by features. Training is two-stage: (1) LoRA to enforce content preservation (suppress lighting), (2) ControlNet to inject the extracted effects map. At inference, the effects map is injected and can be rigidly transformed (translate/scale/flip) to harmonize illumination, not requiring explicit geometry or light-source modeling.
1) The method is simple and is an interesting decomposition into content vs. light effects

2) Scalable data pipeline for building triplets without manual labels.

3) Practical for creative workflows like image harmonization, where exact physical relighting is unnecessary.

4) The lighting removal is perhaps the most interesting part of the pipeline that can suppress strong lighting phenomena like glares, specular effects, etc.
1) One of the main claimed contributions of the paper is that it is“First to transfer light effects with geometric structure across disparate images,” which is not correct. Prior work already transfers lighting in a physically grounded way: Latent Intrinsics (cited) and its generative adaptation -- LumiNet: Latent Intrinsics meets diffusion models for indoor scene relighting (CVPR 2025; not cited) transfer lighting codes from a source to a target while handling large geometric mismatches in complex indoor scenes. Also, these comparisons are missing in the current paper.

2) While the generative decoupling construction is interesting, the method does not transfer lighting. It is illumination effects harmonization via a 2D effects layer. There is no discussion in the paper on how the proposed method differs from diffusion-based relighting methods that are physically motivated (like Latent Intrinsics, LumiNet, or Diffusion Renderer (CVPR 2025), which is again not cited in the paper. 

3) No evaluation on standard relighting datasets (MIT Multi-Illumination, BIG-Time Time Lapse Dataset, etc.).  

4) Does the method understand lighting semantics, such as transferring the lighting from switching on a light bulb in one scene to another? The proposed approach seems to be spatially biased, as it focuses on pixel-aligned matching and then harmonization between the source and target images, rather than employing global illumination reasoning.

5) “Light FID” is unvalidated for lighting structure; FIDs are known to be biased and are not a good measure of lighting phenomena. Missing structure-aware metrics using a standard dataset and a user study.

6) Missing limitations and failure examples.
1) What exactly do authors mean by “light effects with geometric structure”? Which phenomena are included (cast shadows, speculars, bloom, flares, caustics), and which are excluded?
2) Can the authors elaborate on how this decomposition differs from traditional intrinsic image decomposition?
3) How does this approach differ technically from diffusion-based, physically motivated relighting methods (Latent Intrinsics, LumiNet, Diffusion Renderer)?

4) Can this method demonstrate source-level semantics (toggle a lamp, move a point light, change intensity/color) and report accuracy under controlled edits?

5) Under a large geometry mismatch (indoor vs outdoor), what are the failure modes of the 2D effects transfer? Please quantify and show examples. Also, how does the method perform on indoor scenes?

6) The paper mentions content leakage multiple times. If the extraction is “content-free,” is it possible to quantify the content leakage?"
"['Practical Application', 'Significance and Impact', 'Innovation']","['Reliance on Assumptions', 'Theoretical Justification', 'Computational Efficiency']",fidjuuPfzT,CFlOUNWsaP,human,"The paper proposes EvoSearch, a method for improving image and video generation models through test-time evolutionary optimization. Rather than training or fine-tuning model weights, EvoSearch adapts the sampling process of diffusion models dynamically at inference. It formulates generation as a search problem where multiple candidate are evolved to maximize the reward. Empirical results on benchmarks show consistent gains in perceptual quality metrics.
The paper presents a training-free method to improve generative models at inference. EvoSearch applies to many diffusion architectures for both image and video generation and is among the first to study test-time scaling for video models, which broadens its impact across modalities. The experiments show consistent gains on perceptual quality metrics, indicating practical value.
While the proposed method brings additional performance gains across tasks, the method relies heavily on heuristic choices for the evolution schedule, mutation strategy, and initialization of noise parameters. How these parameters are chosen? Can authors give justifications for the parameters? Also, this may limit scalability for new model, task, and reward. 

Although the method is new, test-time scaling has been explored extensively. The paper needs a more convincing case for why EvoSearch should work and why it should outperform existing methods such as best of N and particle sampling. The approach is framed as evolutionary optimization, but the paper does not explain in a principled way how the search improves the denoising trajectory. As written, the gains appear purely empirical. Providing more intuitions and formal derivations would strengthen the claims. 

Lastly, running evolutionary search at test time introduces computational overhead, especially for video generation where reward and generative model are large. The paper lacks a thorough analysis of runtime and trade-offs compared to standard sampling methods.

Minor 
- L.234, 304 Eq. equation typo
Please see weaknesses."
"['Theoretical Foundation', 'Theoretical Contributions', 'Innovation']","['Writing Quality', 'Reliance on Assumptions', 'Novelty']",0Qjv2ZpOkk,pvq53fGnRq,human,"The presented work extends posterior diffusion SR methods (namely, ResShift) by introducing a plug-in image quality control (IQC) mechanism. The proposed correction term is derived from a numerical analysis linking discretization error in the reverse diffusion ODE to the gradient of a KL divergence. This enables post-hoc ""quality control"" without retraining. Overall, the method provides theoretical interpretability and mild improvements in perceptual quality but limited quantitative gains over ResShift.
- Introduces a numerical-analysis perspective on diffusion SR, which is kind of interesting.
- Demonstrates that image quality can be controlled, although the shown example with HR reference is quite impractical (since HR is usually not given), but can be seen as upper bound (although HR itself is the upper bound).
- The core derivations rely on overly strong Gaussian (for a posterior learning approach) and constant-variance assumptions. I am a bit puzzled by this since ResShift does not need these assumptions and still performs comparable, sometimes better, questioning the goal of this work.
- Quantitative gains over ResShift are marginal (in general mostly mixed), suggesting the proposed correction has little real impact despite its theoretical framing...
- The paper suffers from numerous language and formal issues (e.g., spelling errors such as latant space, misuse of key words like ""proof of definition"", and inconsistent notations), which reduce readability and professionalism for this type of conference.
- Theorem 3.2.1 as a proof is not rigorous: it stitches pieces with unproven proportionalities and drops constants, so it should be framed as a modeling assumption backed by empirical calibration (i.e., A, B regression), not as a theorem.
-  Comparisons are limited to minor ablations (LR vs. HR guidance) without broader baselines or qualitative failure analysis to support the claimed controllability advantage.
- In practice, variance is usually not constant spatially (different noise levels per region) nor temporally (it decays along t). In contrast, ResShift does not assume a fixed variance, nor does it linearize everything to one isotropic sigma^2. Therefore, it explicitly learns how the noise level and residual destribution behave given the LR input. Why did the authors try to simplify that? Did I miss something major here?
- In Theorem 3.2.1 (spatial derivative), the proof equates (by using the time derivative from proposition 3.2.1) temporal derivatives of the drift with spatial gradients of the KL divergence. What formal justification supports this operator equivalence?
- Given that the IQC model builds directly on ResShift with a simple correction term, how does this constitute a novelty?
- Since HR ground truth is unavailable at inference (in practice), what practical insight does ""Ours (HR)"" provide beyond an upper bound? Is the upper bound not already given by the HR image itself? It is a bit deceiving with the (high) reported numbers in combination with the words ""ours"", although it seems to be an upper bound..."
