strengths,weaknesses,review_id,submission_id,type,review_text
"['Practical Relevance', 'Performance Improvement', 'Insights and Analysis']","['Justification and Motivation', 'Methodology Description', 'Novelty']",pog1MLDFWy,jdrXx0ReH3,human,"This paper evaluates LLMs on 4 esoteric programming languages (Minipy, Pyth, Rhokell, and 0815). The authors get their tests from HumanEval and use them to generate a new benchmark, EsoEval. The authors propose a method of using self-scaffolding to generate solutions, manually verify them, and then re-use the correct ones as in-context demonstrations. This results in sizable gains in some settings. Another finding is that higher compilability (code that compiles) is a poor proxy for correctness in esolangs. Lastly, without penalty as the authors do acknowledge it, this paper was written by an LLM.
* This paper attempts to tackle an important problem that is in a popular research area
* The proposed method of self-scaffolding is simple and actionable
* The evaluations go over 4 different languages based on two source benchmarks and provide insights that hold over almost everything
* The rationale behind the selection of their languages is missing. The authors arbitrarily selected 4 languages. One of their main arguments is that we should look for languages less popular than Python (figure 2) yet two of the languages they chose (Minipy and Pyth) are related to python. In fact, the relationship between Minipy and python is so strong that on line 355 they say, “any submission that successfully ran under a standard Python interpreter were excluded, regardless of functional accuracy” so arguably Minipy is not an esoteric language. Why not a language like Isabelle or Scenic? 
* In the evaluations, the authors refer to accuracy but it is never formally defined
* Both the benchmark, EsoEval, and the self-scaffolding procedure require a human in the loop. The authors do not provide a rubric or set of rules for both procedures so both are not reproducible nor can one validate the merits of the benchmark.
* Outside of websites, the authors reference a total of 11 other works. They fail to acknowledge the rich literature around Domain Specific Language (DSL) code generation. 
* This manual self-scaffolding procedure is erringly similar to HyDE by Gao et al and so there's a lack of novelty. The applications are different, code vs information retrieval respectively, but the idea of first guessing something closer to what you want then refining is more or less the same.
* In self-scaffolding, how many verified examples were added, by what selection heuristic, and in what order? Any diminishing returns curves? Sensitivity to noisy/incorrect examples? Since none of this was covered I think it would have been easier to just use DSPy which you did call out as future work but doesn't excuse the lack of details."
"['Novelty and Innovation', 'Practical Relevance', 'Research Direction and Trends']","['Methodology Description', 'Experimental Results and Comparisons', 'Support for Claims']",zwmobK6ulc,x3WyBB7Fma,human,"The paper studies using LLMs and text descriptions to generate code for pre-defined heuristic methodologies (restarts, phase, bumping) in a SAT solver  (easysat). During training, a set of these heuristics are generated which can then be mapped into clusters based on distance in a fixed set of instance features. At runtime, closest cluster's heuristics are used for solving. 

Experiments compare against SAT solvers (traditional minisat, modern kissat), baseline easysat vs easysat-dashco, and autsat. The comparison is split to in-domain and out-of-domain. There is an ablation on some design choices.
- The idea of using LLMs to generate/evolve heuristics has become an emerging trend and the paper focuses on that in SAT domain, which is nice.  
- The idea of textual descriptors specific to problem characteristics is a good blend of human intuition - domain knowledge with generative LLM. 
- The approach might have potential in improving automated SAT solving (but not necessarily ""best"" existing SAT solvers, as also noted in the paper)
- I like the focus on ""practically"". Several design choices (e.g., lightweight extractors) are in the direction of fast/pragmatic solving.
Overall, I like reading this paper and here are a number areas for improvement. 

- It is not clear to me how the Problem Archetypes are decided? This is a crucial part of the overall approach, and the presentation is not clear/precise. How  many are there, 3? How are they decided? Is this manually generated? Or, is this LLM generated (if so, how?). 

- Likewise, it is not clear to me how does the Evolution of these heuristics work? Is this using a population-based approach whereby LLM is used to generate individuals in the population. How is it initialized, evolved, mutated, cross-overed, for how long, etc.? IF, this is not the case, how does the LLM heuristic generation works? Is it just a single-shot prompt? 

- The idea of learning instance characteristics to solver/heuristic configuration is not new at all. The current write-up risks coming across as the first ""data-aware"" approach, which is not true. I would recommend tuning down this part. Instance specific algorithm configuration has been exceedingly successful in many domains, including SAT. An immediate reference, that's unfortunately missing and should be referred is ISAC Instance-Specific Algorithm Configuration (ECAI'10). The paper rightly mentions SATzilla, and there are few others that is required for context; these include Hydra (AAAI'10) which builds portfolios for SAT, Non-Model-Based Algorithm Portfolios for SAT (SAT'11), Algorithm selection and scheduling (CP'12). Especially ISAC is relevant in its clustering based configuration selection --very similar to the approach here. Similar examples exists beyond SAT, too, e.g., Automatic MILP solver configuration by learning problem similarities (Annals of OR'24). What's emerging is offloading the heuristic generation to LLMs, as opposed to algorithm tuners (which btw should also be cited, like GG - Gender-Based Genetic Algorithm for the Automatic Configuration of Algorithms (CP'09) or ParamILS (AAAI'07) or SMAC (Hutter et. al.). The paper is written as-if these work do not exist. Please consider (major) revision in the future versions, while pointing out the new exciting directions with generative LLMs started by FunSearch. 

- Algorithmic question: why does your approach creates heuristics independently and then requires an ""aggresive"" pruning in the Cartesian combination which is found to be computationally expense. Have you considered generating a complete configuration with all three heuristics at once in combination? This might be a good ablation to consider. As-is, this seems like an arbitrary choice, and requires extra filtering, compute etc. 

- There is a comment about the choice of the SAT solver (easySAT) and token-context limitation. How are the two related to each other? 

- Training Dataset: How does the 24 unclassified instances from competitions are selected? This seems arbitrary, no? 

- Test Set: how do you select CNP, Zamkeller, KTour for testing? why these domains? What's connection between these datasets and your problem archetypes? Why are the problem archetypes not related to problem domain descriptions? 

- Without further details the selection of Training and Test sets seems very ad-hoc and might perceived as fit for method purposes. 

- The method is referred to as DaSAThco vs. DASHco sometimes? Is this a typo or some other variants are considered? 

- It seems unfortunate that AutoSAT is not tuned per problem for a fair/better comparison. 

- There is a section on Overhead Analysis but it does not express anything about what that overhead is, it just ""states"" that there is overhead? Please revise this section. 

- Btw, I really liked your pragmatic SAT feature extractor. If possible to release this, would be excellent to share with the community, given its  lightweight nature. Side note you refer to it as 37-dimensional and sometimes as 38-dimensional, pls fix 

- Experimental Comparisons are lacking. We do not have good control to understand/evaluate the added value of the LLM-based heuristic generation brings. The comparison with a traditional (minisat) and modern (kissat) solver is nice. I agree with the authors that we should not expect this to beat the best solver out there (it would be amazing but I would not hold that against the approach if it's behind). one might ask why not directly evolve Kissat in the first place? But I understand that from a ""methodology"" perspective. Then, what matters is the comparison/improvement achieved on top of the base solver that this work is built upon, which takes us to EasySAT vs. DashCo. Here we see improvements which is in the right direction. BUT, how do we know the improvements are due to the LLM generated heuristic selection. There is no good control in between. The fact that the performance of a single shot EasySAT will be improved with a portfolio of new easysat versions is totally expected. How much of that we can attribute to LLMs and this approach, I don't know.. Have you tried running another portfolio next to this? Say a static ensemble easysat configs OR a bundle of sat solvers against DashCo. That would be a way to go. The comparison with AutoSAT helps, but it's only averaged tuned on all problems and not by domain which is very unfortunate. At the very least, I would recommend comparing EasySAT vs. EasySAT-Tuned vs. DashCo, where EasySAT-tuned is a tuned/portfolio version using GGA, SMAC, ParamILS, Bayesian Opt, Optune, HyperOpt (or any other tuner you like) within the same runtime overhead that training DashCo takes (which we are not given btw..) 

- The most interesting part would be the analysis of the methods. What does Kissat do for restarts, phasing, bumping? What new methods LLMs design? How many problem archetypes are there? How is that related to initial problem domains and their selection? How many clusters we have, what are their centroids refer to etc, how do they related to problem archetypes or benchmark domains? I am very surprised that this is not discussed/shared at all. 

- A revision version of this paper would be excellent fit to SAT conference

- It's not clear to me what's meant by ""50% threshold(s) were applied"". Is this for normalized features or not? How stable is this for randomization/re-runs or problem domain. What features are picked by LLMs (this would be super interesting to share but there is a lot of details that the paper is not telling the reader) 

- Btw, any reason to use Par-2 as opposed to standard Par-10? 

- final pruned portfolio size appears to be 9. That seems arbitrary, too. How is that decided?
See the weakness"
"['Novelty and Innovation', 'Practical Relevance', 'Insights and Analysis']","['Clarity', 'Presentation Issues', 'Qualitative and Theoretical Analysis']",vDEsCggzIC,3geORMaG3H,human,"The authors present ECHO-MIMIC, a two-stage computational framework that transforms collective action problems, framed as Ill-Structured Problems (ISPs), into Well-Structured Problems (WSPs) for individual agents.
ECHO (Evolutionary Crafting of Heuristics from Outcomes) evolves executable heuristics, snippets of code encoding behavioural policies, while MIMIC (Mechanism Inference & Messaging for Individual-to-Collective Alignment) generates persuasive natural-language messages that motivate agents to adopt those heuristics. Both modules use large-language-model-guided evolutionary search and population-level selection within a simulated environment to optimise for global performance.
Demonstrated on an agricultural landscape management problem, ECHO-MIMIC discovers effective local heuristics and accompanying messages that align farmer behaviour with landscape-level ecological goals. This work reframes the challenge of collective action as an agent-level policy discovery and communication problem, offering a scalable route to adaptive policy design.
- Novel approach using evolutionary algorithms and LLMs to adaptively design policies for decision-making
- Interesting idea on the ""nudging"" mechanism
- End-to-end example prompt & completion outputs would be helpful in the main body of the paper and help clarify the core ideas and hypothesis, 
- I would be interested in more detailed resutls and discussion on the ""nudging"" mechanism.
- Diagrams could be more legible and help the reader understand the projects much quicker.
- I gave a ""fair"" for Presentation because I believe the clarity and flow of the paper could be improved significantly
- Can agents refuse ""Nudge Messages""?
- On high-level afaik, nudge messages are compiled using collective local information, however I wonder if hirarchical or some parts of the nudge message might be more important than others depending on the local condition. For example, the ""message"" i receive from my direct neighbour might be more helpful to take action, the ""message"" from a farmer on the other side of the board not so much."
"['Performance Improvement', 'Insights and Analysis', 'Benchmarks']","['Experimental Results and Comparisons', 'Generalizability and Scope', 'Methodological Rigor']",jIKczrbOqK,EplNy91Xqh,human,"This paper introduces SimpleTIR, a plug-and-play method to stabilize multi-turn tool integration reinforcement learning. The authors note that tool feedback can induce distribution shifts and lead to low-probability tokens and gradient spikes during multi-turn iterations. They analyse the root cause of this phenomenon and address it by filtering complete trajectories containing void turns, i.e., turns that do not contain a code block or yield an answer. On maths benchmarks, SimpleTIR significantly enhances the performance of Qwen2.5-7B and larger models, yielding smoother training curves compared to standard multi-turn RL. The study also observes emerging patterns such as cross-validation and error-correction mechanisms.
This paper links multi-turn instability to extremely low-probability tokens emerging after model processing tools, demonstrating that these tokens trigger gradient peaks. Proposition 1 and the case study elucidate this mechanism.

This paper proposes a straightforward solution: directly filtering trajectories containing invalid rounds, thereby addressing unstable updates. The algorithm description and mask selection are clear and unambiguous.

Table 1 shows consistent improvements across AIME24, AIME25, Math500, AMC23 and more, for 7B, 32B and 4B bases, compared to non-TIR RL baselines and prior TIR systems.

SimpleTIR exhibits smooth training curves. Ablation experiments reveal that filtering mechanisms based on low token probability or high ratio demonstrate poor stability. Similarly, filtering only “stop generation instructions” without loss masking yields suboptimal results.
Void turns are defined as those where the model fails to generate a complete code block or final answer. The training pipeline detects such instances by enforcing a final answer function and fixed tool output prefixes. The authors also note that this metric may not extend beyond the current multi-turn TIR environment.

All tasks were constrained on math problem-solving using Python tools. The paper itself acknowledges that this metric may only be applicable to multi-turn TIR scenarios. More complex agency tasks potentially require additional turns.

Ablation analysis focuses solely on early training (320 steps) and gives the conclusion that SimpleTIR suffers less from low probability tokens and gradient explosion. It does not mention whether the trajectory filtering with high importance ratios or low probability tokens can resolve the challenge of training instability in the long run.

Filtering the whole trajectory when any void turn appears can reject hard trials and change the reward distribution. There is no quantitative report of filter rate or false positives. It may lean towards keeping easy success trajectories and discard hard trajectories.

The gradient-norm proposition is insightful, but there is no broad quantitative study that correlates measured low-probability token rates with gradient spikes across many runs and seeds. Evidence is mainly a case study and a few curves.
What fraction of trajectories are filtered in each step? Did you count the false-positives, e.g. a useful reasoning turn get discarded, because no explicitly final answer was provided.

Can you test your method’s generality on different tasks, for example, QA, general knowledge, and use different tools, e.g. web search)?
Your ablations focus only on early steps (first 320 steps) to show instability of trajectory filtering with high importance ratios or low probability tokens. Can you report full training curves to confirm that they do not recover in the long run?

Can you give a correlation between low-probability token segments and gradient spikes over many runs and report statistics instead of only a single case?

Did you try to decrease the weight of late bad turns instead of dropping the whole trajectory? Did you try to filter only the suffix after the first void turn?"
"['Performance Improvement', 'Data Collection and Methodology', 'Novelty and Innovation']","['Clarity', 'Generalizability and Scope', 'Presentation Issues']",O3yJ18x2TQ,xu1XwVZtDi,human,"In this paper, the authors propose an RL training method to generate high-performance CUDA kernels by using multi-turn RL training, known as Kevin. In contrast with previous code-generation studies that focused only on correctness, Kevin starts from a reference PyTorch implementation and lowers it to CUDA, monitoring both correctness and performance. To accomplish this, the authors assign a score to each kernel that balances correctness and performance, and train an LLM using GRPO on samples without immediately iterating on external feedback, as is typical of single-turn training. Instead, during each training step, multiple responses are evaluated and assigned a reward. During multi-turn training, not only is the code used to stir the process, but the chain of thought as well. However, with the aggregation of so many instances, the CoT context becomes quite large, so the authors summarize the context from earlier runs. Two approaches to assigning scores were investigated: a greedy approach that assigns a kernel score to each turn and an outcome-based approach that assigns a score to all turns based on the best score in the trajectory. The authors propose a hybrid approach that balances the pros of these two credit assignment strategies and perform an ablation study to support the efficacy of this choice. The evaluation section illustrates the improved performance of multi-turn training compared to single-turn alternatives and other LLMs to generate code. The code generated by KL yields a higher rate of correctness and achieves improved performance in most tests.
- This is my first time encountering multi-turn in the context of code generation. The results support its usage from both a correctness and performance perspective. 
- The authors investigated multiple aspects of the RL training procedure, from the generation of the training data, reward assignment, and the composition and structure of samples during training. All of these training hyperparameters were shown to have a notable impact on the quality of the result and should provide a useful data point for other researchers in the area, considering multi-turn RL.
- The issue of context length control seemed to be an interesting, but maybe ephemeral problem, as the context lengths continue to grow. The solution they proposed did not seem detrimental to kernel improvement.
- The tradeoff inference configurations, illustrated in Table 2, were an interesting display of the performance impact of trajectory vs turns on both the performance and correctness.
- I found the discussion of the choice of baseline model in Appendix B.6 to be insufficient from the reader's perspective. While it seems completely plausible for the largest model to have the best priors and smaller models more susceptible to reward hacking, it may be the case that certain updates to the reward function or training could alleviate these issues.
- One of the major limitations, noted by the authors, is the limited number of robust tasks usable for training. With access to more tasks, the kernel generation capabilities of Kevin could be significantly higher.
- All the figures are difficult to digest for people who struggle with differentiating colors. A change in the markers and/or line styles would make it easier to tell the differences at a glance.
- Is it possible to add a graph to illustrate the issues related to smaller models and reward hacking in Appendix B.6? Not strictly necessary, but it would provide more context for readers who are not as familiar with these issues."
"['Data Collection and Methodology', 'Performance Improvement', 'Practical Relevance']","['Scalability and Complexity', 'Dataset Quality and Real-World Validation', 'Presentation Issues']",VWfKecOXSp,rJv2byEWA3,human,"This paper proposes a data generation methodology to generate 1.5M tikz examples. These are then used to finetune QWen (with RL + SFT) in order to obtain small-ish (3B/8B) models that surpass GPT-4 and are similar in performance to GPT-5.

The authors do this by first sourcing data from Github and other sources and then using a pipeline to identify valid tikz and leveraging a VLM to obtain descriptions.

This data is used to finetune and then with RL using GRPO.
1. This paper describes how to obtain a large scale text-to-tikz dataset. They use a combination of choices (e.g. 1 tikz per website; ensuring compilation; VLM style description) to obtain a large scale and high quality dataset.

2. They describe howt o use such a dataset for SFT and for RL. For RL, they add a couple of domain specific changes -- e.g. the model for the reward; the scalar rewards for capturing semantic alignment. 

3. Their strategy seems to work -- leading to clear improvements across model sizes and leading to performance that is comparable with GPT-4o / GPT-5 though much smaller by using a human rating comparison.
1. It would be good to quantify the difference in model size in Figure 4 -- how much smaller is the model than GPT-5/4o in terms of sheer size of the model as well as compute at inference time.

2. it would be good to plot / understand performance as a function of the size of the data. If we want better performance, can we just collect more data or are we already hitting diminishing returns here ?

3. Is the dataset planning to be made public? It would be useful for other researchers I imagine.
See above."
"['Novelty and Innovation', 'Insights and Analysis', 'Performance Improvement']","['Experimental Results and Comparisons', 'Dataset Quality and Real-World Validation', 'Methodology Description']",2w8P05fErh,62DZyNWRgv,human,"This paper introduces the TAROT framework for reinforcement fine-tuning in the domain of code generation, which utilizes the varying difficulty of test cases to obtain more training signals. During training, the framework adjusts the proportion and the weight of four tiers of test cases. Experiments demonstrate that this strategy can generally improve the model's performance on coding benchmarks. The authors also observe the diverse training dynamics for base models of different capabilities, which partially explains their setting of curriculum policies.
The main strength of this paper is proposing an approach for obtaining more fine-grained rewards by evaluating on test cases of diverse difficulties. This approach may stimulate the model to refine its solutions from general ideas to extreme or corner cases, which differs from the conventional criterion of passing all test cases.

Another thing interesting is the observation that models of different capability have their own favor of training recipes (with respect to test difficulty). It is an analogy of the well-believed idea  that adjusting the distribution of problem difficulty in several training stages.
Although I generally agree with the authors that it is possible to leverage intra-problem difficulty to to get more reward signals, I think the analysis to the framework is somewhat simplistic. Indeed, the authors observe that in many cases training with TAROT dataset brings about higher score in coding benchmarks, however, the baseline should not be base models themselves. More specifically, as soon as one is able to collect a bunch of data (like the interview dataset used), he can (arbitrarily) generate test cases, perform training with them and expect the possibility of improving the performance. In my opinion, the authors should use the most simple case (may be B/I + average/pass) as the baseline, then the performance gain can be reliably attributed to the weighting or allocation strategies in the proposed framework.

Besides, I am concerned about the quality of different tiers of test cases. Since test cases are generated by LLMs, it is necessary to make sure that they have valid inputs. Additionally, the generated outputs require step-by-step simulation, making it difficult to scale up to stress tests (e.g., n=1e3 or even n=1e5 for sequence length). Also see my comments to Table 3 in the Questions section.
**A general question:**

Given that there are different training recipes available in the framework, the authors do not provide a method to automatically choose a suitable one for training a specific model (when its capability is unknown to us). Thus, the experimental results are more like iterating over all combinations and select the best one afterwards, which limits the practical applicability of the framework. I understand it is difficult to propose an automatic training framework, thus I would like the authors to share their opinions with respect to this point.



**Question to Figure 1:**

I can understand that it is better to gradually learn harder test cases for less capable models, but what is the insight behind learning from complex to basic test cases for stronger models?


**Question to Line 202-204:**

I generally agree with the exploration of intra-problem difficulty, but I am a bit curious about the definition of ""hard"" case. In competition-level coding (like CodeForces), small test cases can be passed with brute force, yet large test cases may require algorithms, which filters out undesirable solutions. Does ""hard"" case aim to examine the correctness of a solution's inner logic, or just an arbitrarily constructed case with larger size compared to ""easy"" and ""intermediate""?



**Question to Table 3:**

Generally I find the contents in the table contain many errors, thus I am concerned about the quality of the dataset as well as the generated test cases.

In the first problem, it says ""In each operation, you will be given an integer p and a character c. You have to replace the p-th character of the string with c."" However, the test cases do not contain either p or c.

In the second problem, for the intermediate test case ""BAABABAB"", the answer should be ""no"", but the test output is ""yes"".

In the third problem, string S is not provided in the test input.

In the fourth problem, the problem only requires a single input ""N"", but each test case has two input numbers A and B, and it seems to always output max(A, B).

In the fifth problem, it says ""He wants to make the sequence strictly increasing. What is the minimum number of operations he needs to perform?"" But the test cases actually correspond to  the opposite case, that is making the sequence strictly decreasing.

In the sixth problem, I personally do not understand the problem description. In the basic test case, how can sequence ""1 2 3 4 5"" contains some piles of the same maximum height?

Besides, many problems have test cases which contain multiple inner tests (with the first input as the number of inner tests), but is not mentioned in the problem description.



**Minor question and suggestions:**

Line 84: ""which is defined via instruction-following fidelity and baseline coding proficiency"", but the authors do not explain these two ideas in the paper. I think this part is confusing and can be deleted.

Line 135 and afterwards: The left quotation marks look weird. In LaTeX, left and right quotation marks are typed differently.

Line 271 (Figure 2): The authors should explain the meaning and unit of x-axis in Figure 2. How are token diversity and transitions calculated?

Line 289: The citation for the dataset is missing.

Line 290-292: The authors need to explain the different strategies (Forward/Reversed/Static and Uniform, B&I, C&E).

Line 299: It is necessary to mention some important details of implementation here, such as the RFT algorithm used. Do not put everything in the Appendix.

Line 430: ""However, the reward observed during training does not reliably anticipate downstream benchmark outcomes."" I suggest conducting a case study to understand this phenomenon. That is, given that these models are already capable of writing codes (also demonstrated by baseline performance in benchmarks), why do they gain such low reward in the beginning shown in Figure 5(a)？

Line 432 (Figure 5): Please briefly explain what the light-colored trajectories are. Also, please explain why the trajectories of some models stopped in the middle (it is confusing, although I get to know the reason from Appendix).

Line 865 (Table 5): When not all tiers are used, is the loss function computed with relative weight (of available tiers)?"
"['Practical Relevance', 'Performance Improvement', 'Experimental Design']","['Clarity', 'Support for Claims', 'Qualitative and Theoretical Analysis']",nrvpKer5Z5,znsrpkKqrp,human,"# Summary

The paper expands on a prior work by Alikhasi & Lelis 2024 to alleviate two limitations that prevented from applying that prior work in practical setting. The first one is the inability to consider a large portion of the combinatorially large space of sub-trees of so-called ""neural trees"", a result of decomposing neural networks into chains of if-then-else statements. The second one, the so-called ""default input parameters"" that encode values of features not present in a different observation from the one the policies were learned for, a must-have to make the policies generalize.

The work is based on a neat observation that masking neurons in the network can allow devising the corresponding sub-tree of the neural tree. Thus, both learning the sub-trees and the default parameters can be done with gradient descent by masking the input observation.


# Significance

This work makes previously suggested idea practically applicable, which makes it significant in my book.

# Soundness

The authors claim that ""The process of selecting a subset of options that minimizes the Levin loss is NP-hard in general (Garey & Johnson, 1979)"". I am not sure where in the cited book is the mentioned problem, it would be great to refer to it specifically (e.g., page number)


# Novelty

The novelty of the paper is somewhat lessens by this being a follow up work, but the paper does solve a real issue with the previously proposed approach, in a novel way.


# Scholarship

The scolarship seems to be fair, with the related work covering several related directions. 
 
# Clarity

The paper is sufficiently clear, easy to follow, although sometimes feels like parts of the text were rephrased from previous versions by different people. However, I did not find it to be an issue.


# Evaluation and Reproducibility

The evaluation specifies precisely the hypotheses tested, and tests on a variety of environments, compared to other options learning methods (baselines). DiDec shows consistently high performance, compared to the baselines. 


# Minor
1. line 073: the sentence is awkwardly composed, as if only part of it was changed into active/passive voice.
2. line 099: First reference to Figure 1 is on page 2, while the figure itself is on page 5. Consider bringing closer.
1. Neat observation that allows to make existing theoretical idea practically applicable.
2. Sound presentation, motivating example.
3. Extensive experimental evaluation.
1. The motivating example can be presented in a more structured way.
2. The complexity result is unclear, is it known from the literature (probably not)? If not, should be presented more formally.
1. You say ""The process of selecting a subset of options that minimizes the Levin loss is NP-hard in general (Garey & Johnson, 1979)"". Is it really a known result? If not, do you have a proof for the claim? Even if it is, could you specify a corresponding optimization problem (e.g., integer program)? Integer programming solvers can deal with quite large problems, maybe a greedy approach is not actually needed?

2. I wonder whether there is a way to make your subtrees/options symbolically representable. Do you have a way to recognize what do the learned options correspond to in each of the tested domains? For instance, do the learned options policies in MiniGrid correspond to moving between rooms? Something else?"
"['Performance Improvement', 'Empirical Results', 'Insights and Analysis']","['Qualitative and Theoretical Analysis', 'Experimental Results and Comparisons', 'Presentation Issues']",KrAvxPUlQ5,3BHs9QaHYd,human,"The paper evaluates three dimensions of code generation: (1) Code, (2) Editorial, and (3) Case. It proposes no new methods or datasets. All experiments use Qwen series models and Deepseek V3. The paper reports several interesting observations: (1) LLMs show self-consistency between editorial and code dimensions, (2) code generation capabilities are similar across different LLMs but distinct from human submissions, (3) human submissions are more diverse than LLMs on code and cases, (4) human editorials are more helpful than LLM-generated editorials for code generation, (5) LLMs can recognize their own mistakes, (6) LLMs can generate more comprehensive test cases than they can solve.
No obvious grammar flaw in the paper.
1. Figure 1, the teaser is difficult to follow, I can’t understand the relationship between green, blue, and orange arrows and blocks. And which dimensions are self-consistent or not self consistent cannot easily tell from the figure. 
2. The evaluation models: QWQ, Qwen coder and Qwen instruct are basically from the same company, my concern is I think their would be some similarity in pretrain data, a more diverse model to be used would make the observations in the paper seems more reasonable.
3. As an evaluation paper, there is no qualitative analysis in the paper, only outcome based analysis make this paper shallow in the depth of analysis. 
4. Again without in-depth analysis and explaination, I cannot understand why human editorial is better than human generated editorials on code and cases generation. 
5. In the section: From Code to Cases: Can LLM generate more comprehensive cases with the code? How to make sure the generated cases is inherently correct? How complex the cases are compared to the original seed cases. 
6. According to the authors, the LLMs can find their own mistakes, I am confused in what extent they can find mistakes, in what extent they can’t? And why models can find mistakes but cannot solve the problem directly? would test-time scaling help? would self-refinement such as ReAct help?
7. To what extent the model cannot find its own mistakes? is there any qualitative anlysis on that?
8. All experiments are down via Pass@1, would the conclusions in the paper be different if use test-time scaling to evaluate?
9. The experiment setting is unclear, for example the temperature of LLMs to decode, thus the similarity experiment in Figure 3 is not that accurate from my perspective, temperature could affect the diversity by a lot. And I am not sure why human generated code is more diverse than LLMs? is it because the code are submitted by different people, and the author use an outcome based analysis, I think is not enough to say they are more diverse. 

From my humble perspective, the paper is not polished enough, lots of experiment settings and qualitative analysis are missing. The evaluation method is not surprising or make sense enough. I think the paper need a major revision, thus I would rate a maximally score of 2 to the paper.
See Weakness"
"['Practical Relevance', 'Presentation and Clarity', 'Research Direction and Trends']","['Experimental Results and Comparisons', 'Novelty', 'Generalizability and Scope']",JW9bSy4bpM,Dc74QT8M9i,human,"This paper introduces a simple idea to augment the sampling diversity of LLMs: first generate a list of seeds/hints to partition solution space, then sample solutions conditioned on a seed sampled uniformly from the generated set of seeds. 

Overall, this paper presents a clear and well-motivated exploration of a simple yet practically useful idea—prompting large language models with multiple semantically distinct “seeds” to encourage diversity in generated solutions. The method is easy to implement, lightweight. 
However, the paper doesn't cover existing work well and the improvements demonstrated here seem to be marginal. Results are also limited in scope (combination with one search method, with one search budget, tested on code only). 
To strengthen the paper, the authors could:
(1) situate the method more explicitly within prior seeded or feature-conditioned generation approaches;
(2) extend the experiments to other domains, budgets, and search frameworks to better establish generality; and
(3) improve the semantic analyses to ensure that the measured diversity reflects genuine algorithmic differences rather than superficial lexical variation.
Despite these limitations, the work highlights an important and underexplored aspect of LLM evaluation—how to structure exploration efficiently—and could serve as a useful empirical baseline for future research on controllable diversity and structured search in large language models.
The paper tackles an important and timely problem—how to increase the diversity of generations from large language models under fixed budgets. The proposed method is refreshingly simple, easy to reproduce, and grounded in clear intuition about exploration efficiency. The presentation is well structured, the motivation is clear, and the theoretical analysis connects nicely to the empirical findings.
**Novelty:**
The idea is so simple it’s used by a lot of practitioners already. Showing that it works reliably remains a valuable thing of course. 

**Related work:**
This paper omits several very related works. There is a series of papers using Quality-Diversity algorithms with LLMs to find a diversity of high performing solutions. In practice, this consists in evolving solutions through a genetic algorithm, while trying to cover as much as possible a space of behavioral features. Most approaches now condition generation and mutation steps on a target set of features (that would be called a seed here): 
* Generating a diversity of poems: https://arxiv.org/pdf/2310.13032
* Generating a diversity of code problems (with seeds very similar to the ones here https://arxiv.org/abs/2310.10692)
* Generating a diversity of jailbreaks: https://arxiv.org/abs/2402.16822
* Generating a diversity of prompt for recursive self-improvement: https://arxiv.org/pdf/2309.16797

These are all competing methods that use  a structured space of features/seeds/hints to scaffold the generation of diverse outputs from an LLM.

Another related work that is very close to the proposed approach here is Intent Factored Generation: https://arxiv.org/pdf/2506.09659; also proposing to generate seeds with high temperature, then generate solutions conditioned on these seeds. The only difference is they generate seeds independently instead of generating a list of seeds and manually sampling from it. Unless the present paper is an iterated version of that one, this related work should be discussed.

**Control:**
There is a simple control that would be interesting to try out, it’s the generation of unrelated seeds. Maybe this works because the prompt changes a bit. Maybe we could see gains if we were to use a random wikipedia paragraph as the seed?

**Semantic analysis**
It’s difficult to interpret these analyses, because the observed differences between seed-conditioned samples might reflect superficial text effects rather than true algorithmic diversity. For example, a seed could prompt the model to mention the hint (e.g., “using recursion”) in comments or variable names, even if the actual code does not implement that strategy. In that case, the embeddings would capture lexical differences induced by the seed, while the underlying program logic remains unchanged. One way to make this more robust could be to remove all docstrings and comment before running the analysis.

What other embedding space could be used here? Maybe a binary encoding of unit tests that were passed or not?

**Methods:**
What does underlines indicate in the tables? It would be great if it indicated something like: not statistically significant from the best. So we could know from the Table if the top performing model is statistically better than others.

A lot of space could be saved by merging the two tables (with smaller font) and merging graphs. I’m not sure I understand why the results are split into two categories?

The experiments seem a bit limited in scope. Since the idea is simple, the experiments could cover different settings to really demonstrate that the idea is efficient and general. 
* current results show little to no improvement (<2% increase, sometimes decrease in all but 1 task x model combination over best-of-6)
* experiments only look at combinations with one search method (best-of-n), it could also look at different search methods (eg self-consistency, or more sophisticated genetic algorithms like the ones introduced in https://arxiv.org/abs/2405.17503, https://arxiv.org/abs/2507.14172)
* experiments only look at one search budget (6)
* experiments only look at search on code problems, but could also have looked at how the approach may enhance exploration in GRPO-based training on math tasks, for instance
* K means: what is the representation space and the distance metric used in the K-means? Are these high-dimensional embedding spaces? Can we rely on clusters formed in such high-dimension spaces?
* Same question for the “how much of the baseline support is covered by the seeds?” Are balls meaning anything in such high-dimensional spaces, they are so sparse? 
* What is embedded: code-only? code+some description?"
