strengths,weaknesses,review_id,submission_id,type,review_text
"['Framework and Design', 'Comprehensive Analysis', 'Experimental Rigor']","['Efficiency Concerns', 'Assumption Transparency', 'Complexity and Scalability']",3VB5PsXB3F,DdYBGUySAK,human,"This paper introduces LAGEA (Language Guided Embodied Agents), a novel framework that uses natural language as a feedback and error-reasoning signal for reinforcement learning in robotic manipulation. The core idea is to have a VLM generate structured, episodic self-reflections to diagnose what went wrong in a trajectory. This includes few key steps: 1) Keyframe Selection: It first identifies ""causal moments"" in a trajectory using a deterministic heuristic based on goal-similarity dynamics. 2) Structured Feedback: It queries a VLM (Qwen-2.5-VL-3B) with these key frames and a ""schema-constrained JSON"" format, forcing the VLM to output reliable, auditable feedback (e.g., error codes, rationales) rather than free-form text. 3) Feedback Alignment: This feedback (encoded by GPT-2) is aligned with visual state embeddings in a shared space using a hybrid calibration and contrastive loss.4) Reward Shaping: The framework generates two potential-based rewards: a goal-delta reward (progress toward the goal) and a feedback-delta reward (alignment with the VLM's diagnosis). Crucially, the feedback reward is gated by the keyframe weights, concentrating the signal at the causal moments. The experimental results show that LAGEA improves the average success rate over SOTA methods by 9.0% on random goals and 5.3% on fixed goals.
* The use of language as a post-hoc causal reasoning and feedback mechanism: as an ""error-reasoning signal""  to guide an RL agent's critic is interesting.
* The framework is well-designed: to deal with VLM's ""unreliability, they use schema-constrained JSON protocol combined with a predefined error taxonomy to enforce the stability of the process.
* The reward model is dynamic: the shaping signal only applied on the failed trajectories with an annealing strength controled by $\rho$ as policy's success EMA improves.
* The experiments are comprehensive: by systematically validating each design choice.
* Ealy-stage training instability: in the early-stage training, an untrained policy executes mostly random or nonsensical trajectories. In this case, the effectiveness for VLM to diagnose primary error might be constrained. It is not fully analyzed how the VLM provides useful, ""actionable"" feedback during the initial phase of training.
* The keyframe selection is heuristic: the selection process could be heuristic as it is based on the goal-similarity $s_t$
and its temporal derivatives. This assumes the most critical moment of failure correlates with proximity to the goal or sharp changes in movement. However, in some cases, a critical failure (e.g. picking up the wrong object) could be subtle, occur far from the goal, and not involve rapid acceleration, causing the heuristic to miss the true causal moment.
* The efficiency of the method: as it requires the sequential inference of several large models for each episode, it might affect the whole efficiency of the whole framework.
* I notice `peg-insert-side-v2` task is failed in all experiments and the authors' explanation is ""unable to produce a successful episode"". Is this a failure of the VLM feedback (e.g., it cannot diagnose precision errors)? A failure of the keyframe heuristic? Or purely due to the task complexity?
* In real-world, the error propagations are complex and random, is the few-shot prompting sufficient to handle the high variance of initial exploratory failures?
* The overall idea is interesting, if the authors can address my questions well, I am willing to raise my score."
"['Clarity', 'Practical Relevance', 'Relevance and Impact']","['Scope and Generalization', 'Baseline and Comparison Limitations', 'Comprehensive Analysis']",5f2UNH4w20,qwA04SZeCa,human,"The papers proposes to use RL to fun-tune the VLA to VLA by LLM-generated rewards. Also, the paper focus on enable the RL tuned VLA to do multi-round ask-reasoning and act by ultilizing online RL.
1. The paper is easy to read and follow.

2. The problem this paper focus, that under the case that the user give a unclear instruction or goal, the agent need to be able to do ask and reasoning then act in multiple round, is very practical questions in the community, even lots of the current fundation robot model only focus on train simple policies under assumptions that both the environment an dinstruction is determinstic and clear.
1. The problem this paper focus is practical and meaningful, but potential concerns existed in LLM-generated rewards: Although ASK-TO-ACT aims to model human-robot clarification dialogues, the “user” responses are simulated by an LLM using privileged state. This avoids actual human ambiguity, noise, or miscommunication. Thus, the realism of the claimed human-robot interaction remains limited.

2. The paper only has experiemt on simple sumulated env, but not real env, which for this specific problem, real env is the most emportant: All baselines are either handcrafted LLM agents (ReAct) or simple SFT on synthetic trajectories. In order to support the conclusion, the author might need to consider some baseline like human-feedback RL (RLAIF / RLHF) approaches, fundation models VLAs such as OpenVLA or Pi0, reward-learning baselines like Text2Reward or Eureka-style code-generated rewards applied directly.
See the above weakness. Besides those, I have further concern that:
1. WIth the existed experiment design, I feel there still lacks some analysis of why RL with LLM-generated rewards helps. Section 5.3 shows the reward choice will affect the result, but overall lack interpretation of all the design and results."
"['Novelty', 'Theoretical Foundation', 'Thorough Evaluation']","['Baseline and Comparison Limitations', 'Experimental Rigor', 'Efficiency Concerns']",xOzL1EH8Yv,qfkTRsPqFB,human,"The paper proposes a new off-policy online reinforcement learning algorithm called Expectation-Maximization Bootstrapping (EMB). The paper addresses the bias-variance trade-off when learning with multi-step TD targets. EMB learns a metric to evaluate the salience and stability of each bootstrapping step, and uses the measure to weight the TD targets. The derived operator remains a contraction, ensuring the convergence of value estimation under a fixed policy. Empirically, EMB outperforms baseline methods across a wide range of environments.

The key contributions are: (1) introducing a metric for quantifying the balance between salience and stability in equation 4; (2) proving EMB’s convergence and optimality in Proposition 4.1; and (3) demonstrating EMB’s advantage regarding both the efficiency and final policy under a fixed learning budget, compared to baseline methods, across multiple atari games (Figure 2).
1. The method is novel, integrating the expectation–maximization framework into reinforcement learning to dynamically balance salience and stability in multi-step learning. In existing literature, n-step and $\lambda$-return methods rely on a fixed n or $\lambda$ to trade off salience and stability, which limits their adaptability. EMB lifts this limitation by introducing dynamic weighting over multi-step temporal-difference targets, adaptively emphasizing those that are more salient.

2. The method is well supported by theoretical results. Section 4.3 demonstrates that the derived operator is a contraction, which guarantees convergence and optimality of value estimation under a fixed policy.

3. The empirical evaluation is extensive, covering over 60 Atari environments (10 on Atari-10 and the rest on Atari-57), providing convincing evidence of EMB’s learning efficiency.

4. This work performs an ablation study on key parameters ($\lambda$ and $N$), empirically indicating how these choices affect learning efficiency.
1. There is remaining ambiguity regarding the optimal choice of N. Figure 3(d) shows that larger N improves performance. Equation (4) indicates that the boundaries of normalization of TD targets and TD residuals depend on N, which suggests that a smaller N may lead to an inaccurate rating due to an overly small range for selecting the minimum and maximum values. This raises the question of whether EMB’s performance gain is mainly due to approaching Monte Carlo-style learning. A more detailed discussion comparing EMB to MC learning would strengthen the paper. Adding an MC-style algorithm into the experimental baseline could also be beneficial.

2. While the evaluation spans many environments, results are averaged over only 3 seeds, which is not sufficient to compute reliable confidence intervals.

3. The learning curves are cut off before showing the sign of convergence, for example, Phoenix in Figure 2, Alien, Asterix, Berzerk, Bowling, and RoadRunner in Figure 4. I would not say it is a significant weakness because baselines showed lower learning efficiency in these environments, however, it may still be worth checking longer runs on these environments to see how EMB converges to gain information on its stability.
In the learning curves, does the shaded area represent standard deviation, standard error, or minimum/maximum performance across all runs?"
"['Novelty', 'Practical Relevance', 'Experimental Rigor']","['Clarity', 'Scope and Generalization', 'Documentation and Presentation']",QU2j00otwd,umVAbmKf1L,human,"The paper identifies squrious Q optimism as the cause of catastrophic failure during the initial phase of online fine-tuning in offline-to-online reinforcement learning.
To address this issue, the paper proposes a new algorithm called SOAR.
SOAR employs a simple annealing method to gradually reduce the reliance on offline data and decrease the strengths of the conservative penalty during the online fine-tuning.
By doing so, SOAR successfully prevents catastrophic failure and demonstrates improved asymptotic performance.
* This paper addresses catastrophic failure, one of the critical issues that needs to be tackled in offline-to-online RL. It proposes spurious Q-optimism as a new cause for this phenomenon.
* The experimental results are sufficiently provided.
* The writing needs significant improvement.
  * The introduction covers too many details. Clarity would be improved by making it more concise.
  * The lack of a Background or Preliminaries section will make it difficult for readers unfamilar with the field to understand the paper.
  * The overall section structure of the paper is disorganized, which significantly hinders comprehension
  * $\mathcal{L}_\text{TD}$, which appears in all equations, is not defined.
  * The paper's narrative and flow make it difficult to clearly follow the main arguments and intended message.
* Although the paper experimentally shows that SOAR is a superior algorithm, the results indicate that SOAR's performance lies within the confidence interval of other baselines in almost all environments.
* The proposed algorithm introduces a large number of hyperparameters, and the need for domain-specific tuning for each environment is a concern regarding its general applicability.
* The relationship etween SQOR and the success rate is not clear. In Antmaze (Figure 4), the SQOR values are similar, but the collapse rates differ. Conversely, in kitchen-mixed, the SQOR difference is large, but the degree of collapse is similar. A similar pattern is observed between kitchen-mixed and pen-binary in Figure 7.
* In Section 4, does 'when baselines are fine-tuned without retaining offline data' mean that all results in Figure 2 are from an online fine-tuning setting without offline data, or does it only refer to specific algorithms like WSRL or SAC ?
* What is the basis or evidence for the claim in Section 5 that it 'hinder effective exploration of the optimal policy' ?
* In Section 6.1, is it necessary to define $Q_\text{final}$ at 400k online steps ? Wouldn't the value function obtained after further training be considered more accurate ?
* In Section 6.1, what action is input to the value function used in the KL divergence calculation ?
* I am unsure if SQOR is an appropriate metric from a value ordering perspective. What are the results when compared with the Kendall coefficient shown in previous study [1] ?
* There are existing study [2] that reduce conservativeness during online fine-tuning while modifying the buffer. What is the contribution of this study when compared to this method ?

&nbsp;

[1] Zhang, Y., Liu, J., Li, C., Niu, Y., Yang, Y., Liu, Y., & Ouyang, W. (2024, March). A perspective of q-value estimation on offline-to-online reinforcement learning. In Proceedings of the AAAI conference on artificial intelligence (Vol. 38, No. 15, pp. 16908-16916).

[2] Beeson, A., & Montana, G. Improving TD3-BC: Relaxed Policy Constraint for Offline Learning and Stable Online Fine-Tuning. In 3rd Offline RL Workshop: Offline RL as a''Launchpad''."
"['Practical Relevance', 'Innovation', 'Experimental Rigor']","['Scope and Generalization', 'Clarity', 'Baseline and Comparison Limitations']",VsvJrIZtDH,BFiK4TVYeq,human,"The paper proposed a novel method to collect random exploration data to learn good representation for the bi-manual manipulation tasks. THe method use a biased sampling stragtegy for exploration and learns a good representation via inverse dynamics model. Then the model is used to learn downstream imitation learning policy. Experiments show better performance than learning from scratch with pure teleoperation data and previous approach.
1. The method allows random exploration without direct human supervision, which relax the requirement on human demonstration.
1. The tasks are not safety critical. The method is hard to generalize to general-purpose tasks, like ones involving safety concerns. Random exploration is not applicable.
2. The writing is poor. The beginning of the paper involves too much distraction of mathematical formulation. It is more straightforward to describe the method in an intuitive way.
3. No ablation on the model design. Why all components are needed?
1. How's each component contribute to the final performance? How does baselines implemented? Do they similar architecture?"
"['Novelty', 'Practical Relevance', 'Innovation']","['Clarity', 'Theoretical Soundness', 'Experimental Rigor']",DVtByGrs10,yMo7Z670f6,human,"This paper presents an improvement on RebeL. RebeL is a general framework for performing depth-limited search in two-player zero-sum imperfect-information games using public-belief state value functions.

This paper presents two improvements.

The first (Section 5.1) is a method that adds training data for the value function for every iteration of CFR performed during depth-limited search, instead of only one training datum after CFR is completed.

The second (Section 5.2) is data augmentation for poker: for each training datum, we can create other PBSs that should have mathematically equivalent values, e.g. by permuting all the suits of the cards.

The paper empirically shows that the first method improves exploitability in Turn Endgame Hold-em.
The ideas are (to my knowledge) novel and the research direction of making training efficiency improvements to ReBeL is good.

The empirical results in Figure 2 dramatically demonstrate the training efficiency improvement of TurboReBeL over ReBeL + data augmentation.
1. The main method of the paper (Section 5.1) isn't explained super clearly anywhere.

Second paragraph of Section 5.1: ""We hypothesize that for a given subgame, once the average strategy [...] is computed as a reference, we can efficiently estimate values for all intermediate belief states [...] using this fixed reference strategy"".

I think this could benefit from formalization or more explicit description. It took me a while to realize that the intermediate belief states for the root public state came from the CFR solve of the *previous* subgame, not the current subgame being solved.

2. The theorems seem vague and empty to me.

I tried to follow the theorems and proofs but got lost. Perhaps my biggest big-picture issue with them is that it is claimed that TurboReBeL preserves ReBeL's convergence guarantees, but the theorems and proofs don't seem to actually address TurboReBeL's difference from ReBeL. In particular, by the assumptions made in TurboReBeL, we are training the value function with a lot of ""incorrect"" data. We would like to know how this imperfectness of the value function affects the soundness of the algorithm as a whole. However, in my understanding, this imperfectness is completely swept under the rug via the statement ""Under the assumption that the value network [...] approximates the CFV [...] with error at most $\epsilon_{approx}$"" -- ignoring the fact that the error $\epsilon_{approx}$ is entirely what we are interested in. (In ReBeL, this assumption raises no eyebrows because the value function error is a result of just the imperfection of the machine learning model and the imperfection of CFR.

Further critiques of Theorem 1:
- The statement says ""let $\beta_{s,t}$ be the PBS reached according to $\hat{\sigma}^t$. To be clear, $\beta_{s,t}$ is any leaf PBS, not ""the"" PBS reached, right?
- The statement introduces $\hat{\sigma}^T$ but doesn't define what it is. The proof relies on this strategy being part of an approximate equilibrium. Where does it come from?

3. More details on the experiment would be helpful.

- What is the implementation? Did you use an open-source implementation of ReBeL or implement from scratch?
- The 250x speedup is mentioned often but is not actually borne out in experiments, right? Why not run an experiment with ReBeL vs. TurboReBeL to empirically show what the speedup is? It seems incorrect to simply claim a 250x speedup without actually testing the empirical speedup of the data augmentation (i.e. I might reasonably assume that 24x data augmentation does NOT lead to a 24x speedup, because the neural net by itself may learn the invariance). 
- What is in Figure 2? TurboReBeL with k=2 vs. ReBeL w/data augmentation w/k=24? You have to have ablations that compare TurboReBeL with k=2 vs. ReBeL w/data augmentation w/k=2. Or TurboReBeL k=24 vs. ReBeL k=24. And a comparison to normal ReBeL.

4. Minor:
- Section 5.2 describes Chip Isomorphism, and says that these transformations preserve Nash equilibrium properties. It's a minor detail, but this probably deserves a footnote at least saying that this isn't really true (at least it's not clear to me that it is) because chips and bets are integer amounts, so scaling the number of chips could alter the optimal strategies (especially when players have very few chips).
- Some ""marketing"" language in the paper is unnecessary: ""Unprecedented Efficiency Gains"" (bottom of page 2), ""This innovative phase"" (top of page 7)
1. Sorry if I missed this, but did you state your ReBeL implementation anywhere? Was it based on an open-source library, or written from scratch?
2. Did you consider using some neural network architecture that reflects the invariance of suit permutations and/or chip isomorphisms instead of data augmentation?
3. Just to be clear, the ReBeL+Data Augmentation line on Figure 2 is ReBeL + Section 5.2, right? and TurboReBeL Is ReBeL + Section 5.1 + Section 5.2? And they use the same implementation, they only differ in that one has 5.1 and one doesn't?
4. Why is the fidelity of TurboReBeL so much higher in Figure 2 than ReBeL+Data Augmentation?"
"['Clarity', 'Methodological Soundness', 'Comprehensive Analysis']","['Efficiency Concerns', 'Baseline and Comparison Limitations', 'Clarity']",TkilLhRTlv,Biz1vpQeLI,human,"The main challenge in offline multi-agent reinforcement learning (MARL) with multi-task (MT) datasets is the varying number of agents across tasks, which changes the input structure. Prior transformer and hierarchical skill methods underutilized the transformer's attention mechanism, focusing instead on transferable skills, and crucially, they suffered from poor historical context: they compressed the entire history into a single token at each step, making them function like a basic recurrent neural network that largely ignores long-term historical information despite its criticality in partially observable MARL. The proposed STAIRS-Former addresses this by augmenting the transformer with spatial and temporal hierarchies to effectively leverage long history and properly attend to critical tokens, while a new token dropout technique is incorporated to improve generalization to diverse agent populations; experiments on the StarCraft Multi-Agent Challenge (SMAC) benchmark confirm that STAIRS-Former achieves new state-of-the-art performance.
- I believe this paper is well-structured and written.
- The central problem of this work is well-motivated and does sound.
- I think this work offers a good solution for the realization of MT-MARL problem with the corresponding challenges. 
- Another strength point is the ablation on the algorithmic decision by the authors and the informative discussion.
- A crucial weakness of this work is not stating the limitations.
- I believe a limitation of this work could be the potential overhead and memory footprint due to the introduced components. Although, the overall training time is highlighted in the appendix, a deeper analysis would be appreciated where the training time or process time for each introduced component. This can be done by reporting the ablated training time if available or simply the overhead proccessing time compared to normal training step.
- In the experimental section, there is no highlighting for the model sizes used across methods. This could result in an unfair comparison to the baselines.
- Figure 5 is unclear. A more informative caption would be appreciated.
- What are the limitations of this work?
- What is the memory footprint of the model and the introduced overhead compared to the other baselines?
- In Figure 6, what is ""(""wo RT"" excludes repeat & TSFFN)""?
- I did not understand well the analysis in Figure 5. Would you mind elaborating more and clarify the heatmaps in the figure?"
"['Clarity', 'Experimental Rigor', 'Relevance and Impact']","['Baseline and Comparison Limitations', 'Experimental Rigor', 'Related Work Gaps']",1OTET3XmIA,isWKA4rdXx,human,"This paper validates an conclusion: In the offline MARL domain, the current best-performing class of models, Multi-Task sequence models, exhibit favorable scaling properties in terms of zero-shot generalization capability with respect to task diversity. Specifically, increasing task diversity during training can significantly enhance the model's zero-shot generalization ability on unseen tasks. However, when task diversity is held constant, merely increasing the size of the dataset does not improve generalization capability.
- The paper is easy to understand, with a clear logical structure and few typos.
- Most of the conclusions drawn in the paper are supported by corresponding experiments.
- The conclusion proven in the paper, that ""increasing task diversity can significantly improve the model's zero-shot generalization capability"", is somewhat inspiring for future work in this field.
- Inappropriate metric: I think the metric used is not suitable. Since it is about success rate, the increase could simply be measured by $yourSR - baselineSR$. Using $\frac{yourSR - baselineSR}{baselineSR}$ is counterintuitive and may exaggerate the conclusion obtaining from the results.
- Are the size of dataset of multi-task and single-task the same? That is, are the numbers of episodes the same? Because the paper keeps emphasizing that increasing task diversity is more effective than increasing the size of the dataset, it is crucial to clarify whether the size of the dataset has been increased to the same level as in the multi-task scenario. Note that I am aware that Section 3.4 of the paper proves that simply increasing the size of the dataset does not help improve generalization capability. However, in Figure 1, multi-task and single-task still need datasets of the same size to rigorously prove your claim.
- Inappropriate Evaluation protocol: The evaluation is based on the best checkpoint achieved during training, which is inappropriate. If an algorithm has high variance, its best checkpoint may perform well. The paper should provide the asymptotic performance curve of the evaluation SR as training progresses.
- ""We observe that performance on the training tasks remains high across all environments, even as the number of tasks increases. This indicates that the model can successfully learn across multiple tasks simultaneously."" This statement is not correct. In fact, this statement only holds in Connector. The authors later also mentioned the performance drop in RWARE and LBF. Therefore, using this statement as the first sentence of this paragraph is very unrigorous.
- The paper draws several conclusions inconsistent with prior work but does not explain why the opposite conclusions were reached. For example, (1) ""The experimental conclusion of this paper is that offline has better generalization capability than BC, while Mediratta et al. (2024) concluded that BC has better generalization capability than offline."" Why did the opposite experimental results occur? The paper does not provide an analysis. I believe it is very important to provide a reasonable explanation for ""reaching conclusions opposite to prior work,"" at least with some insight-level analysis or explanation. (2) ""Notably, this result contrasts with the single-task setting reported by Formanek et al. (2025), where the optimal embedding dimension was just 64, underscoring the unique potential of multi-task data for enabling scale."" Similarly, this conclusion opposite to prior work also needs to be analyzed.
- Why not conduct experimental comparisons on SMAC (or SMAX, i.e., SMAC in JAX)? On the one hand, SMAC is a very commonly used (as far as I know, the most commonly used) benchmark in the MARL field. On the other hand, there have been previous works on task-level generalization on SMAC, such as DT2GS [1], ODIS [2], and UPDeT [3].

[1] Tian et al. Decompose a Task into Generalizable Subtasks in Multi-Agent Reinforcement Learning. NeurIPS 2023

[2] Zhang et al. Discovering Generalizable Multi-agent Coordination Skills from Multi-task Offline Data. ICLR 2023

[3] Hu et al. UPDeT: Universal Multi-agent Reinforcement Learning via Policy Decoupling with Transformers. ICLR 2021
See Weaknesses."
"['Innovative', 'Clarity', 'Robustness']","['Practical Relevance', 'Baseline and Comparison Limitations', 'Clarity']",Qpicd6QLYq,RFQhCkUcko,human,"The paper addresses the robustness of reinforcement learning (RL) policies to shifts in dynamics distributions post-training. The proposed method employs a dual formulation of value maximization under distributional uncertainty that reduces distributional sampling to a parametric optimization and a Boltzmann reweighting scheme to prioritize difficult training examples. Experiments support the method's generalization to out-of-distribution dynamics.
- The dual formulation approach is interesting and gives insight into how efficient distributional policies can be trained.
- The paper is organized well.
### Motivation
- The motivation of the dual formulation is unclear. The stated reason, that a finite set of training distributions leaves blind spots or is otherwise not comprehensive, is somewhat contradicted by the later inclusion of the ensemble method. If exponential tilting is sufficient to ensure robustness, why is explicit sampling used both in the AdvNet and reweighting components?
- The use of the word ""adversarial"" is a little confusing, since Section 4.2 states that aleatoric uncertainty is out of scope. Generally, in adversarial RL,  perturbations are assumed to be chosen at test time such that the resulting mistakes minimize the target's reward; this changes the problem from epistemic to aleatoric in that the resulting perturbation is definitively not a natural occurrence. 

### Distinction from prior work
- The stated weakness of existing Monte Carlo methods is that they are unable to fully capture the uncertainty set via sampling. The intuition behind random sampling is that, given an infinite number of samples, the full distribution will be captured, so the problem is not in theory but in practice. With that in mind, the practical aspects of the method (i.e. sample complexity, performance in low-occurrence distributions) should be examined empirically.
- The paper states that $\eta^*$ functions as a robustness-performance knob that is absent in primal formulations, which seems untrue. Many methods in adversarial RL use some variation on the general form $(1-\lambda)V(\cdot) + \lambda V^{adv}(\cdot)$, where $\lambda$ is a robustness temperature. See [1] as an example.

### Experiments
- The paper shows comparisons to two outdated robust baselines, dating from 2016 and 2017. There are many peer-reviewed methods published more recently that would serve as a stronger comparison.

[1] Huan Zhang, Hongge Chen, Chaowei Xiao, Bo Li, Mingyan Liu, Duane S. Boning, Cho-Jui Hsieh: Robust Deep Reinforcement Learning against Adversarial Perturbations on State Observations. NeurIPS 2020
- Is there a concrete example of a domain where the $\eta^*$ dual solution captures critical dynamics that discrete sampling would not? Intuitively, it seems that most or all realistic domains are ""smooth"", i.e. dynamics do not vary wildly across small distances. This seems supported by the ablation in Figure 2; one would expect failures of the naive solution to have a more ""jagged"" shape were this not the case. 
- What is the distinction of the dual function from prior work? By reading the paper, one can understand that it provides robustness guarantees beyond the finite sample set. Is this proven, and are there other qualities that can be stated?"
"['Clarity', 'Theoretical Foundation', 'Innovation']","['Experimental Rigor', 'Baseline and Comparison Limitations', 'Complexity and Scalability']",fxyQ1Uc3AU,rb5eTktqbc,human,"This article extends the work in the literature [1] by introducing a sequence-conditioned critic for SAC that models trajectory context with a light-weight Transformer and trains on aggregated N-step returns. Empirical results on standard online RL benchmarks show that the proposed method sometimes outperforms other algorithms.


[1]Qiyang Li, Zhiyuan Zhou, and Sergey Levine.Reinforcement learning with action chunking.arXiv  preprintarXiv:2507.07969,2025.
1. The paper is overall well-organized and easy to follow. 
2. The proposed transformer critic is intuitive and is supported by several theoretical results.
1. The improvement of the algorithm in the experiments is not significant for a basic benchmark, Mujoco.
The authors claim that an action mask is needed for T–SAC and may degrade performance with high trajectory variability.
T-SAC is better than other methods in Meta-World tasks, however, there is higher trajectory variability in Meta-World tasks than that in Mujoco.
2. The authors of literature [1] claim that we might desire a final optimal Markovian policy, the exploration problem can be better tackled with non-Markovian and temporally extended skills, and that action chunking offers a very simple and convenient recipe for obtaining this. 
*However,* they did not provide any theoretical explanation for the aforementioned phenomenon. They also did not offer any intuitive examples to demonstrate the effectiveness of action chunking in MDP tasks. The same problems are shown in this paper.
3. I think the major contribution of this work is the proposed causal Transformer. Thus, in addition to the performance gain by inserting the causal Transformer into SAC, it would be good to discuss other metrics that can directly evaluate the ""quality"" or ""informativeness"" of representations learned in the causal Transformer. Such metrics might include Centered Kernel Alignment and Mutual Information Neural Estimation.
4. The contribution is ambiguous. An alternative interpretation of the benefit from action chunking and T-SAC is that the model is simply given a richer input feature set, which allows a powerful function approximator (like a deep neural network) to better fit a complex value or policy function. 
5. The new method should be compared with QC, which is proposed in [1].


*If my concerns and questions are all addressed, I will raise the score.*
1. What is the subset of MDPs that have the property that the Transformer-based action chunking can be provably useful?
This is an important question. As you can see, the proposed method does not perform well in Mujoco.
2. Could you discuss the computational cost and scalability of the proposed method in detail, especially as the sequence length increases? 
3. Could you provide a more detailed analysis of how your Transformer-based action chunk gain was observed in your experiments? In particular, in addition to the comparison of rewards in the paper, is there an experiment that more intuitively demonstrates the significant improvement in sample efficiency?"
